,stemmed_tokens
434,"['toko', 'fisik', 'rakitin']"
435,"['maaf', 'gan', 'iyeu', 'compatible', 'win11']"
436,"['min', 'spesifikasi', 'stabil', 'listrik', 'daya', '900', 'watt']"
437,"['muraaah', 'anjir', 'keren']"
438,"['merek', 'vga', 'rtx', '3060', 'pakai', 'merk', 'mas', 'all', 'komponen', 'kah']"
439,"['gan', 'review', 'benchmark', 'kah']"
440,"['power', 'supply', 'watt', 'gan']"
441,"['ganklw', 'vga']"
442,"['ssd', 'ganti', '1tb']"
443,"['ram-', 'upgrade', 'kah', 'gan']"
444,"['min', 'ganti', 'corenya', 'i9']"
445,"['gan', 'konoonen', 'ganti', '1', 'hdd', 'ganti', '500', 'ssd', '2', 'vga', 'rtx', '3050', '8gb', 'ddr', '6', 'berabapa', 'total']"
446,"['ganti', 'ssd', '512', 'tambah']"
447,['core']
448,"['ganti', 'core', 'i7', '12700', 'tambah', 'gan']"
449,"['ganti', 'ssd', 'sandisk', '512', 'hdd', '2tb', 'fan', 'warna', 'putih']"
450,"['ganti', 'mobonya', 'b660', 'gan']"
451,"['beda', 'varian', '512', '512', 'promo']"
452,"['kak', 'game', 'football', 'iya', 'fc']"
453,"['kak', 'tas', 'kah']"
454,"['ka', 'mending', 'beli', 'storage', '256', 'beli', 'storage', '64', 'upgrade', 'ssd', '1tb', 'beli', '64', 'pakai', 'mmc', '1tb']"
455,"['maaf', 'kuat', 'game', 'kelas', 'new', 'world lost', 'ark', 'sih', 'bang']"
456,"['mari', 'mari', 'pasuk', 'versi', 'oled', 'announcement']"
457,"['main', 'game', 'connect', 'layar', 'proyektor tv']"
458,"['kirim', 'kota', 'pulau', 'selamat']"
459,"['kak', '256', 'gb', 'ready']"
460,"['varian', '512', 'gb', 'anti-glare', 'layar']"
461,"['storage', 'tambah', 'ssd', 'nvme', 'microsd']"
462,"['varian', '64gb', 'stok', 'gan']"
463,"['kak', 'instalin', 'windows']"
464,['reaxy']
465,"['kak', 'beda', 'steam', 'deck', '64', '256', 'kak', '64gb', 'emmc', '256', 'nvme', 'mksdnya', 'kak', 'bingung', 'ambe', 'tq']"
466,['tuker']
467,"['garansi', 'valve', 'rusa', '', 'claim', 'garansi', 'bantu']"
468,"['min', 'tanya', 'garansi', '7', 'srvice', 'ganti']"
469,"['min', 'game', 'beli', 'disteam', '', 'didownload', 'diplatstore']"
470,"['cpu', 'fannya', 'delta', 'pakai', 'huaying', 'cek', 'kah']"
471,"['makan', 'gta', '5', 'roleplay']"
472,"['pakai', 'micro', 'sd', 'ssd']"
473,"['variant', '64gb', 'benar', 'carrying', 'case', 'kah', '256 512']"
474,"['garansi', 'toko', '7', 'barang', 'cacat', 'tukar', 'vidio', 'unboxing']"
475,"['512', 'sesuai', 'official', 'gan', 'anti-glare', 'screen', 'unique', 'carrying', 'case', 'dll']"
476,"['garansi', 'gan']"
477,"['64', 'makan', 'rdr', '2', 'kak']"
478,"['tuker', 'gan']"
479,"['pilih', 'warna']"
480,"['64', 'internal', 'diupgrade']"
481,['resmi']
482,"['kirim', 'jakarta', 'timur', 'nyampe', 'kak']"
483,['resmi']
484,"['512gb', 'ready', 'gan']"
485,"['varian', 'emmc', 'upgrade', 'ssd']"
486,"['official', 'valve', 'min']"
487,"['support', 'sd', 'card', 'gb', 'gan']"
488,"['official', 'valve', 'reseller', 'gan']"
489,"['64gb', 'ready']"
490,"['64gb', 'ready', 'stok']"
491,"['psp', 'gan']"
492,"['makan', 'game', 'pakai', 'wifi', 'mas']"
493,"['varian', '64', 'diupgrade', 'pakai', 'ssd', 'min']"
494,"['ready', 'kirim']"
495,['gosend']
496,"['toko', 'offline', 'kah']"
497,"['pakai', 'ssd', 'mas']"
498,"['kak', 'beli', 'ganti', 'windows', '11']"
499,"['kak', 'beli', '512gb', '-', 'fastest', 'storage', '-', 'premium', 'anti-glare', 'etched', 'glass', '-', 'exclusive', 'carrying', 'case', '-', 'exclusive', 'steam', 'community', 'profile', 'bundle', '-', 'exclusive', 'virtual', 'keyboard', 'theme']"
500,"['game', 'bawa', 'brapa', 'tambah', 'game']"
501,"['perlu', 'klaim', 'garansi', 'steam valve-', 'valve', 'support', 'indonesia']"
502,"['bukti', 'official', 'valve', 'reseller', 'min']"
503,['garansi']
504,"['osnya', 'windows']"
505,"['full', 'white', 'min', '']"
506,"['kasih', 'mouse', 'keyboard']"
507,"['min', 'ram', 'upgrade', '16x2']"
508,"['sdag', 'kabel']"
509,"['makan', 'gtarp', 'bagus', 'banget']"
510,"['intel', 'gen', 'gan']"
511,"['ganti', 'part', 'pc', '', 'upgrade', 'chasis ram storage']"
512,"['gan', 'port', 'hdmi']"
513,"['edit', 'video']"
514,"['pes', '2021', 'terinstal', 'kak']"
515,"['cocok', 'live', 'streaming', 'game', 'kak']"
516,"['kak', 'pc', 'monitor', 'mous', 'kibort']"
517,"['kak', 'kalok', 'makan', 'gta', 'roleplay', 'grafik', 'high', 'fps']"
518,"['gan', 'monitor', 'ganti', 'samsung', 'curve', '27', 'tambah']"
519,"['game', 'god', 'of', 'war', 'series', 'aman', 'kah', 'ragnarok']"
520,"['kak', 'simpan', 'ram']"
521,"['hardisk', 'kak', 'ini', 'pakai', 'hardisk', '1', 'tb']"
522,"['kak', 'makan', 'rdr', 'ngepris']"
523,"['kak', 'makan', 'gema', 'rdr2', 'macet', 'ngepris']"
524,"['genshin', 'settingan', 'kak']"
525,"['vga', 'ganti', 'gtx', 'monitor', 'curve', '32', 'tanpa', 'keyboard mouse', 'speaker']"
526,"['kuat', 'gensin', 'kak', 'ting', 'medium', 'live']"
527,"['dota2', 'kah', 'bang']"
528,"['garansi', '1thn', 'kak']"
529,"['beli', 'fullset', 'monitor', 'keyboard', 'mous', 'kak']"
530,"['permisi', 'kak', 'makan', 'forza', 'kak']"
531,"['prosesorny', 'gen', 'red', 'dead', 'redemption', '2']"
532,"['palembang', 'kakak']"
533,"['gtav', 'offline', 'lengkap', 'monitor', 'key mouse']"
534,"['muat', 'game', 'kak']"
535,"['request', 'game', 'tambah', 'kak']"
536,"['game', 'roblox', 'minicraft', 'among', 'us', 'kak', 'record', 'video']"
537,"['makan', 'pes', '2021']"
538,"['garansi', 'tahun', 'editor', 'video', 'full', 'mas']"
539,"['min', 'makan', 'valorant', 'record', 'obs']"
540,"['makan', 'fifa', 'dua']"
541,"['monitor', 'kakak']"
542,"['ukur', 'pc', 'kakak']"
543,"['6jeti', 'porci', 'i7', 'jaman', 'tahun', 'jebod', 'v']"
544,"['kuat', 'valo', 'fortnite', 'gan']"
545,"['uh', 'is', 'dhis', 'q6', 'fb', 'sir']"
546,"['fps', 'kak']"
547,"['streaming', 'pakai', 'obs', 'kuat', 'makan', 'game', 'berat']"
548,['kak']
549,"['kuat', 'makan', 'genshin', 'kak']"
550,"['kak', 'makan', 'roleplay', 'kuat']"
551,"['live', 'streamingan', 'game', 'pakai', 'obs', 'kuat', 'saran']"
552,"['install', 'pes', 'baru']"
553,"['sisa', 'iya', 'min', 'aku']"
554,"['i7', 'generasi', 'berapa', 'vga', '4', 'gb', 'ram', '16', 'hd', 'ssd', 'gb']"
555,"['kak', 'engak', 'barang', 'tinggal', 'kak']"
556,"['kak', 'beli', 'engak', 'habis']"
557,"['live', 'streaming', 'yt', 'min']"
558,"['ram', 'ddr']"
559,"['simpan', 'kak', 'pcnya', 'oke']"
560,"['fhotonya', 'detail', 'kak']"
561,"['bang', 'jual', 'laku', 'pc']"
562,"['genshin', 'impact', 'kuat', 'gan']"
563,"['windows', '10']"
564,"['vga', 'bit']"
565,"['kak mau', 'nanya', 'include', 'monitor', 'kah']"
566,"['fifa', '21', 'kuat', 'gan']"
567,"['psunya', 'merk', 'gan']"
568,"['editing', 'rendering', 'video', '4k', 'lancar']"
569,"['request', 'pakai', 'casing', 'hose', 'mini', 'cruzzer', 'min', 'tambah']"
570,"['install', 'black', 'desert', 'online', 'tambah', 'gan']"
571,"['makan', 'cyberpunk', '2077', 'kah']"
572,"['kak', 'makan', 'game', 'sekiro', 'alden', 'ring']"
573,"['kirim', 'aceh', 'aman', 'min']"
574,"['gaming', 'center', 'pc', '10', 'tawar', 'harga', 'speknya', 'include', 'gaming', 'asesorisnya', 'ddan', 'monitor', '32']"
575,"['pakai', 'mouse', '', 'keyboard', 'speker']"
576,"['windows', 'gan']"
577,"['aplikasi', 'autocad', 'lumion', 'vray', 'sketchup', 'gan']"
578,"['game', 'roblox', 'gan']"
579,"['request', 'pakai', 'casing', 'lian', 'li', 'tambah']"
580,"['makan', 'hogward', 'legacy', 'lancar']"
581,"['min', 'makan', 'gta', '5', 'roleplay', 'min']"
582,"['tambah', 'ram', '32']"
583,"['kak', 'ram', 'ganti', 'ram', '3200mhz', 'tambah']"
584,"['kak', 'beli', 'pc', 'ny', 'doang', 'nginstal', 'ulang', 'kak']"
585,"['cpu', 'cooler', 'merek', 'min']"
586,"['kak', 'makan', 'squad', 'settingan', 'medium', 'kuat', 'fps']"
587,"['pakai', 'gta', 'roleplay', '', 'screen', 'recoarding', 'lancar', 'gan', 'diupgrade']"
588,"['monitor', '24inc', 'pc', 'full', 'set', 'harga', '6600000', 'merk', 'gan']"
589,"['streaming', 'game', 'ringan', 'kuat', 'gan']"
590,"['kak', 'ssd', 'ganti', '512gb']"
591,"['vga', 'eksternal', 'min']"
592,"['1', 'asus', 'tuf', 'gaming', 'b450m', 'pro', '2', '2', 'amd', 'ryzen', '5', '5600g', '3', 'ssd', 'm2', 'nvme', '512gb', 'rx7', '4', 'ram', '16', 'gb', '8x2', '3600mhz', 'kingston', 'fury', 'beast', 'delta', 'tforce', 'tuf', 'gaming', '5', 'psu', 'be', 'quite', '500w', '80', '6', 'casing', 'cube', 'gaming s']"
593,"['min', 'tambah', 'rx580', '8', 'gb', 'ganti', 'psu', 'engak']"
594,"['makan', 'minecarft']"
595,"['hdd', 'iya', 'min', 'spek', 'monitor', '19', 'dua', '24', '27']"
596,"['toko', 'offline', 'mana', 'kak', 'jakarta', 'utara', 'beli']"
597,"['kak', 'makan', 'roblox', '', 'chit', 'kak']"
598,"['min', 'vga', 'ganti', 'rx', '6700', 'xt', 'custom', 'lainnta']"
599,"['kak', 'makan', 'gta', 'rp', 'kak', 'grafik', 'gta', 'rp', 'high', 'semua', 'fps', 'kak', 'high', 'grafik', 'gta', 'rp']"
600,"['makan', 'pb', 'kak', 'kuat', 'download', 'berspa', 'game']"
601,"['support', 'pb', 'rata', 'kanan', 'kak']"
602,"['ka', 'makan', 'atlantica', 'online']"
603,"['makan', 'ride', '5', 'efootball', 'kak']"
604,"['kak', 'pc', 'makan', 'gta', 'ukur', '20gb', 'kak', 'kira', 'kak']"
605,"['office excel point', 'gan']"
606,"['ets2', 'versi', 'rap', 'kak', '136 140']"
607,"['power', 'supply', 'kak']"
608,"['support', 'valo gta5 genshin', 'min']"
609,"['request', 'ssd', '240', 'gb', 'kak']"
610,"['makan', 'gta', '5', 'kak']"
611,"['permisi', 'kak', 'kuat', 'main', 'outlast2', 'gta', '5', 'terima', 'kasih', 'kak', '']"
612,"['ready', 'fullset', 'curvemerk', 'monitor', 'inch']"
613,"['min', 'os', 'software', 'crack']"
614,"['full', 'set', 'monitor', 'merek']"
615,"['full', 'set', 'full', 'set', 'curved', 'beda', 'kak']"
616,"['min', 'ready', 'pc', 'full', 'set', 'ssd', 'up', '500', 'gb', 'biaya', 'min']"
617,"['install', 'game', 'fokusin', 'kontent', 'kreator']"
618,"['render', 'v-ray', 'sketchup', 'cepat', 'lancar', 'jaya', 'minimal', 'spek', 'gan']"
619,"['min', 'nanya', 'pc', 'makan', 'genshin', 'rata', 'kanan', 'lancar', 'iya']"
620,"['pesan', 'kirim']"
621,"['makan', 'gta', 'role', 'play']"
622,"['tolong', 'download', 'aplikasi', 'file', 'link', 'cloud', 'kirim', 'aplikasi', 'download', 'bayar', 'laptop cloud']"
623,"['work', '2023', 'gan']"
624,"['makan', 'beamng', 'drive', 'ennga']"
625,"['core', 'i5', 'kah', 'min']"
626,"['gan', 'kuat', 'video', 'editing', '4k', 'kah', 'world', 'war', 'lancar']"
627,"['merk', 'mb', 'vga']"
628,"['gan', 'ssd', '450', 'hdd', '1', 'tb', 'game', 'bus', 'simulator', 'kuat', 'streaming']"
629,"['makan', 'battlefield', '2042', 'support', 'kah', 'kak']"
630,"['bang', 'stick', 'tambah']"
631,"['mas', 'tanyasemisal', 'ssdnya', 'ganti', '500gb-1tb', 'ngaruh', 'iya', 'masatau', 'saran', 'mas', 'ganti', 'ssd', 'pas', 'lain']"
632,"['sasd', 'om']"
633,"['generasi', 'kebrapa']"
634,"['min', 'pas', 'kirim', 'full', 'rakit', 'kirim', 'part']"
635,['streaming']
636,"['pc', 'fullset', 'up', 'minkalo', 'up', 'ssd', '500', 'gb', 'minterus', 'tambah', 'hdd', '1', 'tb', 'min']"
637,"['nyambung', 'wifi', 'ganini', 'ssd', 'hdd', 'cuman', 'ssd']"
638,"['ram', '2x8', 'gan']"
639,"['gan', 'pc', 'full', 'set', 'monitor']"
640,"['monitor', 'inci']"
641,"['abang', 'suport', '4k']"
642,"['gan', 'harga', 'baru', 'iya', 'gan']"
643,"['min', 'pc', '', 'monitor']"
644,"['ssd', 'up', 'to', '250', 'hdd', 'up', 'to', '1tb']"
645,"['desain', 'editing', '4k', 'om']"
646,"['rdr2', 'kuat', 'fps', 'gan']"
647,"['gan', 'ganti', 'pakai', 'lga', '1700', 'i5-12600']"
648,"['mouse', 'keyboarnya', 'wireless', 'ssdny', 'nvme', 'tambah', 'min']"
649,"['request', 'gamenya', 'gratis', 'beli', 'min']"
650,"['rakit', 'pcnya', 'mouse', 'keyboardnya', 'wireless', 'usb']"
651,"['min', 'ssdnya', 'tambah', '200', 'gban']"
652,"['cooler', 'fannya', 'kak', 'merknya', 'kencang']"
653,"['ssd', 'merk', 'vga', 'merk']"
654,"['ram', 'monitor', 'merek', 'min']"
655,"['min', 'monitor', 'up', 'to', '144hz', 'ssd', '512gb', 'hdd', '1tb', 'total']"
656,"['casing', 'merek', 'gan']"
657,"['min', 'request', 'monitor', '24inch', '144hz', 'hardisknya', 'dgnti', 'ssd', '512gb', 'min']"
658,"['min', 'game', 'muat']"
659,"['gan', 'ssdny', 'upgrade', 'je', '512', 'gb', 'pakai', 'hdd', 'gan']"
660,"['merk', 'psu', 'ram', 'keping']"
661,"['gan', 'gtx', '1650', 'super', 'tambah', 'ssd', '500gb']"
662,"['assalamualaikum', 'bang', 'casing', 'pc', 'warna', 'putih', 'kah']"
663,"['min', 'ssd', '', 'harddisk', 'up', '1', 'tb', 'monitor', 'up', 'ke144hz', 'min', 'tambah', 'min']"
664,"['makan', 'red', 'dead', 'redemption', '2', 'ngangkat', 'gan']"
665,"['gan', 'monitor', 'ganti', '144hz', 'tambah', 'harga']"
666,"['min', 'game', 'pilih', 'bebrapa']"
667,"['gan', 'nanya', 'hdd', 'ganti', '1', 'tb', 'monitor', '27', 'keyboard', 'mouse']"
668,"['ready', 'gan']"
669,"['12', 'juta', 'an', 'full', 'set', 'min']"
670,"['ram', 'merk', 'iya', 'gan']"
671,"['min', 'ssd', '240', 'tambah']"
672,"['min', 'pakai', 'powersupply']"
673,"['gan', 'vga', 'ganti', 'rtx', '2060', 'ssd', '240gb', 'gan']"
674,"['valorant', 'fps', 'gan']"
675,"['monitor', 'merk', 'gan']"
676,"['monitor', 'ganti', '144', 'hz', 'bang']"
677,"['ready', 'barang']"
678,"['min', 'hardisk', 'ganti', '1', 'tb']"
679,"['ganti', 'vga', 'rx', '580', '8', 'gb', 'radeon', 'r9', '370', '4gb', 'tambah', 'gan']"
680,"['ready', 'gan', 'sesuai', 'deskripsi', 'harga']"
681,"['gan', 'ganti', 'cas', 'pakai', 'xigmatex', 'omg', 'aqua', 'blue', 'monitor', 'ganti', '27inci']"
682,"['listrik', '450va', 'kuat']"
683,"['gan', 'ganti', 'ryzen', '5', '5600g', 'ganti', 'vga', 'pakai', 'vega', '7']"
684,"['gan', 'pc', 'only', 'pc', 'doang']"
685,"['vga', 'iya', 'seri', 'nvidia', 'gtx', 'gan']"
686,['gan']
687,"['pakai', 'keyboard', 'mouse', 'brpaan', 'monitor', 'hz']"
688,"['harga', 'deskripsi', 'pakai', 'mob', 'asrock', 'b450m']"
689,"['cs', 'go', 'fps', 'gan']"
690,"['gan', 'pakai', 'monitor', 'mobo', 'ganti', 'asrock', 'b450m', 'hdv']"
691,['gtx']
692,"['nama', 'monitor', 'spesifik', 'min', 'led', '24', 'samsung']"
693,"['game', 'ori bisa', 'online']"
694,"['monitor', 'gan']"
695,"['processor', 'ganti', 'ryzen', '5', '6450g', 'kak']"
696,"['ready', 'kah']"
697,"['ganti', 'pakai', 'vga', '4gb']"
698,"['kakak', 'monitor']"
699,"['windows', '10', 'office', 'original']"
700,"['main', 'genshin', 'impact', 'high', 'setting', '60', 'fps', 'gan']"
701,"['windowsnya', 'trial', 'permanen', 'kak']"
702,"['nanya', '', 'hdd', 'ganti', '4', 'tera', 'kira']"
703,"['gan', 'request', 'game', 'maksimal']"
704,"['ram', '16', '8']"
705,"['boss', 'lebaran', 'order', 'spec']"
706,"['exclude', 'gear', 'gan', 'pakai', 'keyboard', 'mouse']"
707,"['min', 'cod']"
708,"['gan', 'ganti', 'prosesor', 'amd', 'raizen', '5', '3600', 'vga', 'saphire', 'rx', '570', '', 'radeon', 'rx', '570', 'ram', '16', 'gbmatherboard', 'gigabyte', '450m', 'mpower', 'suplai', 'unit', 'gigabite', 'cpu', 'hitung']"
709,"['vega', '11', 'depan', 'diupgrade', 'pakai', 'vga', 'dedicated', 'gtx', '1650']"
710,"['gamenya', 'list', 'pilih']"
711,"['bang', 'stok']"
712,"['tegang', 'rumah', 'cuman', '450', 'kuat']"
713,"['beli', 'mouse', 'keyboard', 'ganti', 'monitor', 'merk']"
714,"['fan', 'cooler', 'rgb']"
715,"['vga', 'merk']"
716,"['vga', 'ubah', '4gb', 'ssd', '240 hdd', '500']"
717,['game']
718,"['gan', 'pc']"
719,['ready']
720,"['gan', 'keyboard', 'mouse', 'ganti', 'kak']"
721,"['ready', 'min', 'ganti', 'hdd', '500', 'ssd', '120', 'min']"
722,"['bang', 'games', 'nugas', 'edit', 'desain', 'dll', 'bang']"
723,"['guna', 'kwh', 'hari', 'gan']"
724,"['bro', 'pc', 'monitor']"
725,"['gan', 'aplikasi', 'deskripsi', 'aplikasi', 'install', 'installkan']"
726,"['ram', '8gb', '16gb', 'deskripsi', 'judul', 'beda', 'gan']"
727,"['bang', 'monitor', '1', '2', 'harga']"
728,"['gan', 'kirim', 'jakarta']"
729,"['monitor', '144hz']"
730,"['gan', 'aplikasi', '', 'list', 'games', 'terinstall', 'pilih', 'biaya', 'tuh']"
731,"['alamat', 'toko', 'mana', 'gan']"
732,"['wd', '2', 'assassin', 'creed', 'oddsey']"
733,"['ready', 'bos', 'merk', 'spek', 'bos']"
734,"['editing', 'video', 'adobe', 'premiere']"
735,"['gan', 'ram', 'ganti', '16', 'gb', 'monitor', '24mp88']"
736,"['pubg', 'steam', 'gratis']"
737,"['gan', 'vga', '4', 'gb']"
738,"['custom', 'request', 'vga', 'rtx', '2060', 'monitor', 'pakai', '144', 'hz']"
739,"['min', 'rakit', 'pc', 'range', 'harga', '8-10jt']"
740,"['kak', 'casingnya', 'merek']"
741,"['kak', 'i5', 'ganti', 'i9', 'kak']"
742,"['jual', 'prosesor', 'casing', 'min', 'beli', '', 'rakit', 'sini', 'spek', 'sesuai', 'butuh', 'motherboard', 'varian', 'ryzen', '5', '5600g']"
743,"['procesor', 'ganti', 'amd', 'ryzen', '7', 'kak']"
744,"['kak', 'rtx', '4060ti', 'pakai', '16gb']"
745,"['garansi', 'tahun', 'kak', 'service', 'gratis', 'bersihin', 'pc', 'kah']"
746,"['kak', 'info', 'benchmark', 'software', 'lumion', 'vga', 'rtx', 'gb']"
747,"['terinstal', 'windows']"
748,"['mobo61', 'ganti', 'a520m']"
749,"['ssd', '500gb', 'tambah']"
750,"['rendering', '3d', 'sketchup', 'blender', 'min']"
751,"['bonus', 'gamesnya', 'kakak']"
752,"['kak', 'keyboard', 'monitor', 'mouse', 'pakai', 'varian', 'putih', 'kak']"
753,"['kak', 'i3', '9100f', 'rx580', 'redy', 'fulset', 'monitor', 'keyboard', 'mouse', 'dll', 'bang', 'harga5-6jtan', 'fulset']"
754,"['butuh', 'kamera', 'monitor', 'gedein', 'gan']"
755,"['request', 'upgrade', 'ram', 'ssd', 'mas']"
756,"['kirim', 'kalimantan', 'selatan', 'aman']"
757,"['gan', 'rumah', 'listrik', '900', 'ampere', 'ngangkat']"
758,"['makan', 'game', 'cs2']"
759,"['kak', 'nanya', 'paket', 'pc', 'monitor', 'keyboard', 'mousenya', 'kak']"
760,"['kak', 'makan', 'tidur', '2', 'ting', 'nak']"
761,"['gan', 'kirim', 'bogor', 'aman', 'kah']"
762,"['monitor', 'pakai', 'merk', 'kak']"
763,"['main', 'roblox', 'support', '', 'aman', 'sentosa']"
764,"['monitor', 'ganti', 'merek']"
765,['ready']
766,"['bang', 'kuat', 'live']"
767,"['bang', 'multi', 'emu', 'screen', 'multi', 'emunya']"
768,['editing']
769,"['coreldraw', 'lancar', 'kah']"
770,"['kak', 'dirakitin']"
771,"['ready', 'gan', 'terima', 'tukar', 'gan']"
772,"['fasilitas', 'wifi']"
773,"['barang', 'ready', 'min']"
774,"['slot', 'ram', 'hdd']"
775,"['total', 'pakai', 'listrik']"
776,"['vga', 'ddr']"
777,"['cpu', 'warna', 'putih', 'ready']"
778,['hddnya']
779,"['kak', 'dirakitin', '', 'request', 'game', 'bebas']"
780,"['harga', 'vga']"
781,"['kak', 'ready', 'game']"
782,"['request', 'gan']"
783,"['gan', 'nny', 'game', 'iya']"
784,"['sesuai', 'deskripsi']"
785,"['min', 'tambah', 'keyboard', 'gamingnya']"
786,"['casingnya', 'warna', 'gan']"
787,['casing']
788,"['watt', 'kakak']"
789,"['kak', 'kirim', 'kesurabaya', 'aman']"
790,"['vga', 'ddr']"
791,"['monmap', 'kak', 'unit', 'cpu', 'doang', 'desktopnya']"
792,"['usb', 'wifi', 'bang']"
793,"['request', 'aplikasi', 'pas', 'beli', 'download', 'adobe', 'animate']"
794,"['ssd', 'ganti', '240', 'harga']"
795,"['casing', 'muat', 'gpu', '3', 'fan', 'min']"
796,"['pes', '2021', 'lancar']"
797,"['muat', 'game', 'kak']"
798,"['gan', 'komponen', 'new', 'second']"
799,"['driver', 'diinstal', 'min']"
800,"['spaepart', 'refurbish']"
801,"['aplikasi', 'pcnya', 'kak']"
802,"['speknya', 'sesuai', 'min', 'deskripsi']"
803,"['monitor', 'doang', 'min', 'pc', 'beli']"
804,"['pc', 'ny', 'ram', '16', '8', 'kak']"
805,"['headshet', 'webvam', 'kak']"
806,"['ambil', 'ambil', 'toko', 'gan', 'domisili', 'kota']"
807,"['haji', 'bang']"
808,"['kak', 'gamenya', 'legal', 'bukan', 'mod']"
809,"['intsalin', 'photoshop']"
810,"['request', 'game']"
811,"['bang', 'cari', 'cari', 'pc', 'pas', 'main', 'game', 'berat', 'rencana', 'beli', 'pc', 'tahun', 'bang', 'nanya', 'bang', 'vga', 'ganti', '1650']"
812,"['monitor', 'ganti', 'pakai', 'msi', 'bang', 'msi', 'optix', 'g24c4']"
813,"['pakai', 'cicil']"
814,"['downgrade', 'monitor']"
815,"['kak', 'bonus', 'gamenya', 'pilih', 'sesuai']"
816,"['kirim', 'kaltim', 'ongkirnya']"
817,"['casingnya', 'pilih', 'warna', 'putih', 'kak']"
818,"['dalem', 'paket', 'bang']"
819,"['kak', 'kredit']"
820,"['monitor', 'gan']"
821,"['upgrade', 'ssdnya']"
822,"['mouse', 'keyboardnya', 'sesuai', 'iklan', 'rgb', 'kak']"
823,"['request', 'kustom', 'headset', 'kak', 'rexus', 'daxa']"
824,"['kak', 'vga', 'ny', 'ganti', 'gtx', '660', '2gb', 'kak']"
825,"['headsetnya', 'pakai', 'headset']"
826,"['kirim', 'pulau', 'packingnya', 'kak']"
827,['rakit']
828,"['headsetnya', 'merk', 'bos']"
829,"['kak', 'kredit']"
830,"['headsetnya', 'merk']"
831,"['kak', 'monitor', '19', 'inc']"
832,"['lengkap', 'mas']"
833,"['kakak', 'costem', 'ga webcam', 'keyboard', 'mouse', '1', 'monitor', '2', 'monitor', 'kak']"
834,"['maaf', 'kak', 'request', 'procecornya', 'i3', '10105f', 'mobanya', 'ganti', 'h510', 'tambah', 'kak']"
835,"['gan', 'request', 'game', 'gan']"
836,"['monitor', 'merek', 'kak']"
837,"['gen', 'kak']"
838,"['kak', 'streaming', 'mksdnya', 'webcamp', 'headsetnya', 'gambar']"
839,"['gan', 'full', 'set', 'cpu', 'only', 'monitor', 'ny']"
840,"['kak', 'vga', 'onboard', 'pakai', 'vga', 'card']"
841,"['roblox', 'rata', 'kanan', 'sanggup']"
842,"['abang', 'kadang', 'kadang', 'bocah', 'umur', '11', 'tahun', 'beli', 'beli', 'umur', '13', 'tahun', 'abang']"
843,"['kak', 'processor', 'i5', 'gen']"
844,"['kak', 'olah', 'data', 'iya']"
845,"['kak', 'pc', 'makan', 'roblox']"
846,"['game', 'steam', 'dota', 'kuat', 'gan']"
847,"['kuat', 'makan', 'valorant']"
848,"['fullset', 'monitor', 'merk']"
849,"['makan', 'rdr2']"
850,"['terkonek', 'wifi', 'gan']"
851,"['kak', 'varian', 'cpu led', 'fulset', 'iya', 'keyboard', 'monitor', 'mouse', 'pc', 'kak']"
852,"['maksud', 'memori', '8gb', 'ram', 'ssd']"
853,"['makan', 'minecraft', '120', 'kak']"
854,"['full', 'set', 'monitor']"
855,"['ready', 'gan']"
856,"['ryzen', '5', '5600g', 'upgrade', 'min', 'pasang', 'vga', 'eksternal']"
857,"['monitor', 'hp', 'white', 'jual']"
858,"['game', 'softwarenya', 'crack']"
859,"['bang', 'steamnya', 'kasi', 'akun']"
860,"['kak', 'cpu', 'pakai']"
861,"['pasang', 'vga']"
862,"['psu', 'pakai', 'min']"
863,"['fan', 'prosesor', 'pakai', 'rgb', 'kak']"
864,"['genshin', 'impact', 'kuat']"
865,"['gan', 'point', 'blank', 'kah']"
866,"['harga', 'temasuk', 'monitor']"
867,['rakit']
868,"['listrik', '450watt']"
869,[]
870,"['request', 'game', 'kak']"
871,"['ethernet', 'kang']"
872,"['rumah', 'listrik', '900', 'ampere', 'kuat', 'gan']"
873,"['internal', '500gb', 'harga']"
874,"['pesan', '1tb', 'dm', 'mas', 'request', 'game', 'gitu', 'beli']"
875,"['rtx', 'fullset', 'putih']"
876,"['fullswt', 'putih', 'rtx', 'bang', 'paham', 'suruh', 'baca', 'ga', 'erti', 'pc']"
877,"['kak', 'sistem', 'cicil']"
878,"['kang', 'aplikasi', 'pilih', 'gan']"
879,"['monitor', 'keyboard', 'mouse', 'kah']"
880,"['merek', 'monitor', 'putih']"
881,"['maaf', 'tanya', 'komponen', 'pakai', 'bekas']"
882,"['processor', 'ny', 'intel', 'i7', 'gen', 'gan']"
883,"['maaf', 'mas', 'spek', 'main', 'city', 'skyline', 'mas']"
884,[]
885,"['serius', '3jt', 'i7', 'gen1', '3jt', 'i7', 'gen3 4', 'lhoooo', 'vga', 'bekas', 'gtx950']"
886,"['sore', 'kang', 'maaf', 'game', 'new', 'world', 'spec', 'terima', 'kasih']"
887,"['gan', 'mbak', 'h55', 'maximal', 'pakai', 'processor', 'gen', 'hatur', 'nuhun']"
888,"['piiihan', 'monitor', 'dua', 'inch']"
889,"['nih', 'gaem', 'gta', 'min']"
890,"['1tera4gb22putih', 'ready']"
891,"['pakai', 'streaming', 'kak']"
892,"['design', 'grafis', 'video', 'editing', 'bagus', 'varian', 'gan']"
893,"['makan', 'rdr2']"
