,stemmed_tokens
108,"['admin', 'fps', 'rata', 'dota2', 'fps', 'csgo', 'settingan', 'max', '']"
109,"['processor', 'upgrade', 'gen', 'gan']"
110,"['bang', 'kirim', 'pekanbaru', '-', 'riau', 'aman', 'ongkirnya', 'hanupis']"
111,"['minimal', 'r5', '3400g']"
112,"['vga', 'pakai', 'bang']"
113,"['makan', 'valorant']"
114,"['prosesor', 'dinganti', 'i7gen']"
115,"['kak', 'gambar', 'webtoon', '']"
116,"['pc', 'upgrade', 'gan']"
117,"['listrik', 'watt', 'gan']"
118,"['embel', 'pc', 'gaming', 'i7', 'generasi', 'wkwkwkkw mau', 'dikadalin', 'seller']"
119,"['makan', 'genshin', 'impact', 'gan']"
120,"['gan', 'gta', '5', 'roleplay', 'kuat', 'grafik']"
121,"['ready', 'gan']"
122,"['gan', 'ane', 'rencana', 'pakai', 'rtx', '3070', 'vga', 'upgrade']"
123,"['kuat', 'makan', 'genshin', 'impact', 'gan']"
124,"['gan', 'ganti', 'i5', '9400', '', 'vga', '16504gb', 'total', 'kira']"
125,"['maksimal', 'ghz']"
126,['mantabs']
127,"['spek', 'barang', 'lawas', 'kondisi', 'kategori', 'hmm', '']"
128,"['gan', 'processor', 'gen', 'kah', '-vga', 'ganti', '4gb', 'tambah', 'kah', 'gan', '-utk', 'memory', 'upgrade', 'kah', 'gan', 'terima', 'kasih']"
129,"['play', 'dbd', 'war', 'of', 'warcraft', 'lancar', 'gan']"
130,"['hz', 'monitor', 'bang']"
131,"['barang nya', 'generasi', 'bang']"
132,"['kredit', 'gan']"
133,"['vga', 'ganti', '4gb', 'berapaa']"
134,"['bang', 'hasil', 'score', 'benchmark']"
135,"['slot', 'm2', 'gan']"
136,"['token', '1', 'juta', 'bang', 'makan', 'game', 'pc', 'hemat', 'listrik']"
137,"['gan ke', 'jawatimur', 'fungsi', 'error', 'kirim', 'sesuai', 'deskripsi', 'order', 'maju', 'mundur', 'nih', '']"
138,"['ssd', 'ganti', '1', 'tb', 'gan']"
139,"['genshin', 'impact', 'valorant', 'lancar']"
140,"['barang', 'ready', 'request', 'game', 'gan']"
141,"['cyberpunk', 'asasin', 'valhala', 'lancar', 'gan']"
142,"['casenya', 'pasang', 'infenion', '1000']"
143,"['game', 'sims', '4']"
144,"['game', 'fortnite']"
145,"['nanya', 'windowsnya', 'ku', 'connect', 'internet', 'kedetect', 'palsu', 'trauma']"
146,"['vga', 'ganti', '1050ti', 'tambah', 'kak']"
147,"['intel', 'core', 'i7', '6jt', 'bang']"
148,"['i7', '870', '8700', 'gan']"
149,"['install', 'game', 'gan']"
150,"['i7', 'generasi']"
151,"['ready', 'bos', 'upgrade', 'vga', '4gb', '1060', 'ti', 'tambah', 'hdd', '1', 'tb', 'tks', 'b4']"
152,"['kalao', 'hardsik', '1tb']"
153,"['ready', 'bos']"
154,"['makan', 'five', 'kuat', 'gan']"
155,"['fortnite', 'fps', 'kakak']"
156,"['generasi', '8', 'prosesor']"
157,"['kirim', 'kota', 'paking', 'kayu', 'gan', 'sulawesi']"
158,"['pc', 'anti', 'virus', 'makan', 'game', 'wajib', 'matiin', 'antivirus']"
159,"['game', 'bantu', 'install']"
160,"['core', 'i7', 'gen', '2', 'wkwwkkwwkkwkwkw']"
161,"['ssd', 'brphdd', 'brpram', 'brpvga', 'display', 'memori', 'gb']"
162,"['minecraft', 'rata', 'kiri', 'sampean', 'coba2', 'makan', 'tlauncher', 'kak', 'tinggi', 'otw', 'buy']"
163,"['makan', 'watt', 'min']"
164,"['ram', '16']"
165,"['fifa24', 'eftbl24', 'gan']"
166,"['nfs', 'heat', '', 'valo', '', 'apex', 'fps']"
167,"['install', 'visio', 'professional', 'projects']"
168,"['sekian', 'game', 'tawar', 'nama', 'game', 'free', 'lisensi', 'permanen', 'bukan', 'crack', 'game', 'diinstal']"
169,"['gta', 'roleplay', 'fps']"
170,"['mas', 'gaming', 'streaming', 'editing', 'tipis', 'rekomen']"
171,"['makan', 'fivem', 'lancar', 'min']"
172,"['nge', 'fivem', 'lancar', 'kah', 'min']"
173,"['game', 'albion', 'dragon', 'nest', 'return', 'ting', 'gan']"
