slang,formal
mimin,admin
istimewaaa,istimewa
blom,belum
nangis,menangis
"ngaku"",mengaku-ngaku,"
diaa,dia
donkk,dong
kejawab,terjawab
yaaaa,iya
seru2an,seru-seruan
mohom,mohon
kebalas,terbalas
iakutin,iakuti
nyempetin,menyempatkan
wktu,waktu
kaaaa,kak
ngobrol,mengobrol
namain,menamai
bls,balas
ijap,ijab
kobul,kabul
co,cowok
pst,pasti
inggat,ingat
brdua,berdua
masing2,masih
sanggat,sangat
siipp,sip
laa,lah
dlm,dalam
hdup,hidup
hdp,hidup
kedpan,kedepan
smoga,semoga
mndaptkan,mendapatkan
"nutup""in,menutup-nutupi,"
liatin,perlihatkan
iyah,iya
sja,saja
kakkk,kak
za,saja
mulut2,mulut-mulut
peengn,mau
tuch,
muantteepp,bagus
cpt,cepat
mrit,merit
y,iya
ngapasih,mengapa sih
ni,ini
segitu,sebegitu
fto,foto
pke,pakai
sisain,menyisakan
slamt,selamat
nantiii,nanti
edaaan,edan
emg,memang
tunggu2,tunggu-tunggu
sehat2,sehat-sehat
ciyeeeeeee,cie
pantes,pantas
lairan,kelahiran
jm,jam
ajha,saja
aaa,
ri,mencari
amiien,amin
terbaikkk,terbaik
ayahh,ayah
ae,saja
ndak,tidak
ngerti,mengerti
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
nyiin,menyikan
ahhh,ah
pgen,mau
tempt,tempat
kh,kah
bgini,begini
brani,berani
km,kamu
jalan2,jalan-jalan
asyikkkkk,asyik
iriiiii,iri
ngajak,mengajak
naaaaahh,nah
kka,kakak
yak,iya
ttep,tetap
sperti,seperti
jrang,jarang
msuk,masuk
gossip2.an,gosip-gosipan
makkk,mak
sayae,saya
pengennn,mau
gilzz,gila
ru,meru
gilaaa,gila
jd,jadi
kebarat2an,kebarat-baratan
ohh,oh
baguss,bagus
jgan,jangan
mlu,malu
payahh,payah
ntaf,bagus
beneran,benaran
"mudah""n,mudah-mudahan,"
gada,tidak ada
milikin,memiliki
kamo,kamu
inih,ini
sukaaaa,suka
sukaaaaaa,suka
kirain,mengira
mehoonggggg,mahal
epokkkk,epok
yach,iya
kereenn,keren
ginii,begini
ayoook,ayo
ii,
gituuu,begitu
iyaaa,iya
pgn,mau
liptsk,lipstik
nyeplak,menjiplak
cw,cewek
kmarin,kemarin
mengncang,memperkencang
tauu,tahu
ksh,kasih
skrng,sekarang
mksh,terima kasih
ank,anak
skitar,sekitar
ktmu,ketemu
tmen,teman
ats,atas
donk,dong
heii,hai
diputusin,diputuskan
pcr,pacar
mnjual,menjual
ngadain,mengadakan
kkak,kakak
rekomentardasiin,merekomentardasikan
sihhh,sih
cooocok,cocok
mrip,mirip
mama.nyy,mama
bosenin,membosankan
kmu,kamu
bukn,tidak
sey,sih
cantikkk,cantik
abanger,banget
kaa,kak
eakyu,waktu
doeloe,dulu
cantikkkk,cantik
bngtt,banget
iyak,iya
malh,malah
mlah,malah
ngak,tidak
laki2,laki-laki
gag,tidak
fhoto,foto
bleh,boleh
brp,berapa
tnggl,tanggal
tanteny,tante
ky,kaya
sklia,sekali
ayoo,ayo
w,saya
dramaa,drama
niiih,nih
bisaa,bisa
lha,lah
dunk,dong
lihaat,lihat
yuwkkk,mari
nnti,nanti
editannn,editan
mw,mau
thu,
mai,mau
kamuu,kamu
pastii,pasti
bisaaa,bisa
kejuu,keju
kereen,keren
nama.a,nama
kmauan,kemauan
ahhhh,ah
yuuuuk,mari
dmana,dimana
disiniii,disini
cobaa,coba
bayangin,bayangkan
yaudh,ya sudah
dl,dulu
ajaaa,saja
hh,
amploppp,amplop
mo,mau
sayangg'',sayang-sayang
nantii,nanti
aminnnnn,amin
gakuat,tidak akuat
marikkk,mari
nged,banget
nantik,nanti
ksitu,kesitu
abangeett,banget
liad,lihat
kluarga,keluarga
biasahhh,biasa
tutorialx,tutorial
dpke,dipakai
kerenn,keren
binggo,banget
rekomndd,rekomentardasi
bli2n,beli-belikan
bwt,buat
wado,waduh
guaa,gua
yaakkk,iya
bangetttttyt,banget
bangettttt,banget
abangg,abang
kangeeeeeeeeennnnnnnn,kangen
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kangennn,kangen
kaliannnnnnn,kalian
th2,tahun-tahun
smpt,sempat
blg,bilang
trserah,terserah
ad,ada
cwo,cowok
prnah,pernah
wlwpun,walaupun
trpsah,terpisah
klw,kalau
mmg,memang
prsatukn,persatukan
g,tidak
slh,salah
ngomng,membicarakan
mdh2an,mudah-mudahan
sm,sama
skedar,sekadar
kangeeerrn,kangen
pulak,pula
terrrrbaik,terbaik
jorookk,jorok
ihhhhh,ih
padahall,padahal
jorokkkk,jorok
mualll,mual
klow,kalau
muke,muka
ajh,saja
taiiii,tahi
seneeeeeng,senang
nyesel,menyesal
besarin,membesarkan
tang,tayang
ber2,berdua
jngan,jangan
ngelarang,melarang
kerreeen,keren
pantess,pantas
bngettt,banget
baperr,bawa perasaan
sudh,sudah
sbr,sabar
pngen,mau
nntn,menonton
ht,hati
pemainy,pemain
jg,juga
aqu,aku
baper,bawa perasaan
akn,akan
mpe,sampai
kbawa,terbawa
bradegan,beradegan
amiiinnnn,amin
mlm,malam
nikahin,menikahi
hadeuh,aduh
mbung,membung
liyat,lihat
krn,karena
sk,suka
adengan,adegan
engga,tidak
bingit,banget
dapetin,mendapati
model2,model-model
sitayngin,ditayangkan
cocokkk,cocok
mahhhh,mah
cocokny,cocok
iniw,ini
q,aku
setju,setuju
bnern,benaran
pcrn,pacaran
klian,kalian
cocokkkk,cocok
bngett,banget
abes,habis
br,baru
mksdny,maksud
brpa,berapa
ihh,ih
kesampean,kesampaian
beginiiii,begini
ntr,nanti
beliin,membelikan
keq,kek
ngerasa,merasa
sygakuu,sayangaku
ngeselin,mengesalkan
baju'a,baju
gara'',gara-gara
teruss,terus
pokok'a,pokok
bg,abang
ubur2,ubur-ubur
akuyy,mari

dureen,duren
ajibb,ajib
mahall,mahal
marik,mari
niiihh,nih
imuuttt,imut
imuttzz,imut

konten2,konten-konten
rasain,merasakan
daaaah,
asliiii,asli
cantiknnnaaaaaa,cantik
yuuk,mari
ngelihat,melihat
bdn,badan

ibu2,ibu-ibu
lau,kau
cantikk,cantik
sexxi,seksi
bulet,bulat
ituu,itu
ngocok,mengocok
nyoba,mencoba
gn,begini
yaahhh,ya
kencqng,kencang
kra,kira
diginikan,dibeginikan
"coret"",coret-coret,"
lahh,lah
gambarin,gambarkan
ngerii,ngeri
digambarin,digambarkan
klen,kalian
abangke,abangkai
kog,kok
bedaaa,beda
negri,negeri
mbk,mbak
pgin,mau
krudungan,kerudungan
ajaa,saja
maksutaku,maksudaku
kerennnnn,keren

jd'y,jadi
manisaaa,manis
thun,tahun
mbg,mbak
abangeet,banget
ngaco,mengaco
ngomen,mengomentari
kaaakk,kak
gi,begitu
tenggah,tengah
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,keren
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
ayooo,ayo
nontonx,menonton
dpn,depan
pi,tapi
penasarannnn,penasaran
gilakkkkkk,gila
mauuu,mau
nontoonnn,menonton
cepet2,cepat-cepat
kepingin,mau
nontonnnn,menonton
deeek,adik
ntappp,bagus
deg2an,deg-degan
cyiiin,cinta
iyha,iya
akureeeen,keren
muantaap,bagus
pake,pakai
ngantri,mengantri
bli,beli
nraktir,mentraktir
nonton,menonton
sbk,sebak
penasaraaann,penasaran
ayoooo,ayo
nii,ini
nonto,menonton
k,ke
kl,kalau
nunggu,menunggu
dpt,dapat
qta,kita
peen,mau
lw,lu
gga,tidak
yaah,ya
asikkk,asik
gilak,gila
mcm,macam
ceritax,cerita
yoooiii,
daah,
akuy,mari
udahh,sudah
tauuuuu,tahu
sabarrrrr,sabar
kqmu,kamu
abanggain,abang
thn,tahun
pengan,mau
sendeng,senang
simpen,simpan
gakk,tidak
bagiin,bagikan
nanggepin,menanggapi
kapn,kapan
barang2,barang-barang
kirimin,mengirimi
senengin,senang
ngasih,mengasih
ampunnnn,ampun
bln,bulan
senengg,senang
teruzzz,terus
bagusb,bagus
sumpahh,sumpah
diluarann,diluaran
trbaik,terbaik
dlam,dalam

jendess,janda

sichh,sih
nam,nama

nggak,tidak
22,dua-dua
aduuhhh,aduh
miripp,mirip
silauuu,silau
waww,wow
uga,juga

bgs,bagus
kesinii,kesini
gemay,gemas
dstu,disitu
wiiiihhhh,
samoga,semoga
kereennn,keren

hasilaa,hasil
dahhhh,dah
mudah2,mudah-mudah
jugaakk,juga
prnh,pernah
diapa2in,dipengapakan
yaak,iya

donx,dong
gthu,begitu
nda,tidak
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
berntung,beruntung
merka,mereka
jln2,jalan-jalan
romntis,romantis
slamat,selamat
ulan,ulang
th,tahun
mngkin,mungkin
klau,kalau
diksi,dikasih
sipp,sip
taun,tahun
jugak,juga
nungguin,menunggu
ngeluarin,mengeluarkan
keciill,kecil
ughaa,juga
"tante"",tante-tante"
abanged,banget
abeees,habis
kapan2,kapan-kapan
adain,mengadakan
bsa,bisa
bosen2,bosan-bosan
sempurnaaaaa,sempurna
kaan,kan
kece2,keren
badaaiii,badai
beneraan,benaran
cantiiik,cantik
akuatttt,kuat
cantiiiiiiik,cantik
cantikaa,cantik
bae2,baik-baik
bgd,banget
mb,mbak
catiiiiik,cantik
subahanallah,subhanallah
jaman2,jaman-jaman
padet,padat
buktiin,buktikan
cantiq,cantik
"pasien"",pasien-pasien,"
utk,untuk
keeeerrrreeeennnnnnnnn,keren
woow,wow
buktiin,membuktikan
hadirrr,hadir
hadirr,hadir
jelashh,jelas
sekali2,sekali-kali
mbaaa,mbak
temen,teman
hidupppp,hidup
nyebelin,menyebalkan
diliat,dilihat
abis2,habis-habis
gpp,tidak apa-apa
para2,parah-parah
abangeeet,banget
allahhhhhhh,allah
gemes,gemas
ilang2,hilang-hilang
kmi,kami
ngilangin,menghilangkan
tbuh,tubuh
itungan,hitungan
leadikn,ledekin
tmn2,teman-teman
repot2,repot-repot
oles2,oles-oles
cakup,cakup
